category,label,pid
Identity & people,creator,P170
Identity & people,developer,P178
Identity & people,influenced by,P737
Identity & people,instance of,P31
Technical,programmed in,P277
Technical,platform,P400
Technical,operating system,P306
Technical,GUI toolkit or framework,P1414
Technical,depends on software,P1547
Technical,binding of software library,P1372
Technical,software engine,P408
Technical,port,P1641
Technical,input device,P479
Technical,output device,P5196
Technical,readable file format,P1072
Technical,writable file format,P1073
Technical,media type,P1163
Technical,package management system,P3033
Relations,based on,P144
Relations,version edition or translation of,P629
Relations,follows,P155
Relations,followed by,P156
Relations,part of,P361
Relations,has part(s),P527
Relations,facet of,P1269
Relations,part of the series,P179
Links & registries,official website,P856
Links & registries,official blog URL,P1581
Links & registries,source code repository URL,P1324
Links & registries,issue tracker URL,P1401
Links & registries,IRC channel URL,P1613
Links & registries,user manual URL,P2078
Links & registries,GitHub account,P2037
Links & registries,Open Hub ID,P1972
Links & registries,SourceForge project,P2209
Links & registries,Free Software Directory entry,P2537
Links & registries,swMATH work ID,P6830
Links & registries,12 more package-registry IDs,-
Versioning & rights,software version identifier,P348
Versioning & rights,publication date,P577
Versioning & rights,download URL,P4945
Versioning & rights,DOI,P356
Versioning & rights,copyright license,P275
Versioning & rights,price,P2284
Versioning & rights,software quality assurance,P2992
Versioning & rights,inception,P571
Versioning & rights,end time,P582
